vignedo,vino,agno,rating,nro_revs,pais,region,precio,tipo,cuerpo,acidez
Monte Real,Gran Reserva,1964,4.5,54,Espana,Rioja,,,4,3
Vega Sicilia,Unico,1965,4.6,218,Espana,Ribera del Duero,,,5,3
Toro Albala,Don PX Vieja Cosecha,1973,4.5,95,Espana,Montilla-Moriles,,,5,1
Muga,Prado Enea Gran Reserva,1982,4.3,90,Espana,Rioja,,,4,3
Vega Sicilia,Unico Reserva Especial Edicion,1982,4.6,39,Espana,Ribera del Duero,,,5,3
La Rioja Alta,Vina Ardanza Reserva,1985,4.3,72,Espana,Rioja,,,4,3
Muga,Prado Enea Gran Reserva,1985,4.3,75,Espana,Rioja,,,4,3
Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,70,Espana,Ribera del Duero,,,5,3
Toro Albala,Don PX Pedro Ximenez,1986,4.4,95,Espana,Montilla-Moriles,,,5,1
Tinto Pesquera,Reserva,1986,4.5,29,Espana,Ribera del Duero,,,5,3
Vega Sicilia,Unico,1987,4.7,593,Espana,Ribera del Duero,,,5,3
Vega Sicilia,Valbuena 5o,1988,4.5,126,Espana,Ribera del Duero,,,5,3
Muga,Prado Enea Gran Reserva,1991,4.4,72,Espana,Rioja,,,4,3
Vega Sicilia,Unico,1991,4.7,1141,Espana,Ribera del Duero,,,5,3
Bodegas Faustino,Faustino de Autor Reserva Especial,1994,4.3,76,Espana,Rioja,,,4,3
Vega Sicilia,Valbuena 5o,1994,4.4,218,Espana,Ribera del Duero,,,5,3
La Rioja Alta,Gran Reserva 890,1995,4.5,574,Espana,Rioja,,,4,3
Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,442,Espana,Ribera del Duero,,,5,3
Alvaro Palacios,Finca Dofi,1997,4.3,60,Espana,Priorato,,,4,3
Bodegas Valduero,Ribera Del Duero Gran Reserva 12 Anos,1999,4.8,68,Espana,Ribera del Duero,,,5,3
Alvaro Palacios,Finca Dofi,2000,4.3,202,Espana,Priorato,,,4,3
Hacienda Lopez de Haro,Gran Reserva Classica Tinto,2001,4.4,135,Espana,Rioja,,,4,3
Marques de Murrieta,Dalmau Rioja,2001,4.6,59,Espana,Rioja,,,4,3
Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2001,4.6,145,Espana,Ribera del Duero,,,5,3
Dominio de Pingus,Pingus,2001,4.7,295,Espana,Ribera del Duero,,,5,3
Cims de Porrera,Solanes Priorat,2003,4.4,43,Espana,Priorato,,,4,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2003,4.5,46,Espana,Priorato,,,4,3
Clos Erasmus,Priorat,2003,4.6,41,Espana,Priorato,,,4,3
Imperial,Rioja Reserva,2004,4.2,417,Espana,Rioja,,,4,3
Bodegas Roda,Roda Reserva Rioja,2004,4.3,452,Espana,Rioja,,,4,3
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2004,4.4,94,Espana,Rioja,,,4,3
Vega Sicilia,Unico,2004,4.7,3164,Espana,Ribera del Duero,,,5,3
Vinedos de Paganos,El Puntido,2005,4.2,384,Espana,Rioja,,,4,3
Neo,Ribera del Duero Tinto,2005,4.3,126,Espana,Ribera del Duero,,,5,3
Anima Negra,Son Negre,2005,4.5,42,Espana,Mallorca,,,4,3
Sara Perez y Rene Barbier,Gratallops Partida Bellvisos,2005,4.5,59,Espana,Priorato,,,4,3
Clos Mogador,Priorat,2006,4.3,527,Espana,Priorato,,,4,3
Vinicola Real,200 Monges Rioja Reserva Seleccion Especial,2006,4.5,32,Espana,Rioja,,,4,3
Remirez de Ganuza,Trasnocho,2006,4.5,229,Espana,Rioja,,,4,3
Sierra Cantabria,Amancio,2007,4.6,70,Espana,Rioja,,,4,3
Recaredo,Reserva Particular de Recaredo Brut Nature,2008,4.6,69,Espana,Cava,,,2,3
Dominio de Atauta,Llanos del Almendro Ribera del Duero,2009,4.3,251,Espana,Ribera del Duero,,,5,3
Marques de Riscal,Rioja 150 Aniversario,2010,4.2,1686,Espana,Rioja,,,4,3
Hermanos Pecina,Finca Iscorta Gran Reserva,2010,4.3,334,Espana,Rioja,,,4,3
Remirez de Ganuza,Trasnocho,2010,4.4,258,Espana,Rioja,,,4,3
Artadi,La Poza de Ballesteros,2010,4.5,74,Espana,Vino de Espana,,,4,2
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2010,4.6,60,Espana,Priorato,,,4,3
Pago de Carraovejas,Cuesta de Las Liebres,2010,4.6,405,Espana,Ribera del Duero,,,5,3
Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,125,Espana,Ribera del Duero,,,5,3
Matarromera,Gran Reserva,2011,4.2,389,Espana,Ribera del Duero,,,5,3
Contino,Rioja Graciano,2011,4.2,395,Espana,Rioja,,,4,3
Ramon Bilbao,Mirto,2011,4.2,402,Espana,Rioja,,,4,3
Vina Pedrosa,Gran Reserva,2011,4.2,410,Espana,Ribera del Duero,,,5,3
Clos Pons,Roc Nu,2011,4.2,420,Espana,Costers del Segre,,,4,3
Marques de Riscal,Rioja Gran Reserva,2011,4.2,1319,Espana,Rioja,,,4,3
Pujanza,Rioja Norte,2011,4.3,106,Espana,Rioja,,,4,3
Marques de Grinon,Emeritvs (Emeritus),2011,4.3,197,Espana,Dominio de Valdepusa,,,4,3
Remirez de Ganuza,Gran Reserva,2011,4.5,65,Espana,Rioja,,,4,3
Campillo,Gran Reserva Rioja,2012,4.2,410,Espana,Rioja,,,4,3
Sierra Cantabria,Coleccion Privada,2012,4.2,420,Espana,Rioja,,,4,3
Bodegas Roda,Roda Reserva Rioja,2012,4.2,2375,Espana,Rioja,,,4,3
Buil & Gine,Pleret,2012,4.3,37,Espana,Priorato,,,4,3
Enate,Cabernet,2012,4.3,57,Espana,Somontano,,,4,3
Dominio de Cair,Tierras de Cair Reserva,2012,4.3,535,Espana,Ribera del Duero,,,5,3
Sierra Cantabria,Finca el Bosque,2012,4.4,158,Espana,Rioja,,,4,3
Sei Solo,Tinto,2012,4.5,70,Espana,Ribera del Duero,,,5,3
Bodegas Roda,Cirsion Rioja,2012,4.6,231,Espana,Rioja,,,4,3
Bodegas Luis Perez,Petit Verdot,2013,4.4,32,Espana,Andalucia,,,4,3
Bodegas El Nido,El Nido,2013,4.7,476,Espana,Jumilla,,,4,3
Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Espana,Priorato,,,4,3
Alvaro Palacios,Finca Dofi,2014,4.2,671,Espana,Priorato,,,4,3
Emilio Moro,Malleolus,2014,4.2,1030,Espana,Ribera del Duero,,,5,3
Vizcarra,Ines,2014,4.3,37,Espana,Ribera del Duero,,,5,3
Terroir Al Limit Soc. Lda,Les Manyes,2014,4.3,99,Espana,Priorato,,,4,3
Marques de Riscal,Baron de Chirel Rioja Reserva,2014,4.3,661,Espana,Rioja,,,4,3
Marques de Murrieta,Gran Reserva Rioja (Finca Ygay),2014,4.3,685,Espana,Rioja,,,4,3
Sierra Salinas,Salinas 1237,2014,4.5,28,Espana,Alicante,,,4,3
Pago de Carraovejas,Reserva,2014,4.5,1148,Espana,Ribera del Duero,,,5,3
Ordonez,Vatan Arena Tinta de Toro,2014,4.8,79,Espana,Toro,,,5,3
Bodegas La Horra,Corimbo I,2015,4.2,412,Espana,Ribera del Duero,,,5,3
Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Espana,Rias Baixas,,,3,3
La Vicalanda,Reserva,2015,4.2,420,Espana,Rioja,,,4,3
Lan,Vina Lanciano Reserva,2015,4.2,514,Espana,Rioja,,,4,3
El Coto,Coto de Imaz Rioja Gran Reserva,2015,4.2,668,Espana,Rioja,,,4,3
Chivite,Navarra Reserva Coleccion 125,2015,4.3,211,Espana,Navarra,,,4,3
Abadia Retuerta,Pago Negralada,2015,4.3,474,Espana,Sardon de Duero,,,4,2
Belondrade,Belondrade y Lurton,2015,4.3,1230,Espana,Rueda,,,3,3
Bodegas San Roman,Tinto,2015,4.3,1846,Espana,Toro,,,5,3
Bodegas Asenjo & Manso,Silvanus Edicion Limitada Ribera del Duero,2015,4.4,25,Espana,Ribera del Duero,,,5,3
Allende,Martires Rioja,2015,4.4,50,Espana,Rioja,,,3,3
Vina Pedrosa,Perez Pascuas Gran Reserva Seleccion,2015,4.4,55,Espana,Ribera del Duero,,,5,3
Marques de Vargas,Reserva Privada Rioja,2015,4.4,746,Espana,Rioja,,,4,3
La Rioja Alta,Vina Ardanza Reserva,2015,4.4,2370,Espana,Rioja,,,4,3
Artadi,El Carretil,2015,4.5,66,Espana,Vino de Espana,,,4,2
Familia Torres,Grans Muralles,2015,4.5,189,Espana,Conca de Barbera,,,4,3
Lan,Culmen Reserva Rioja,2015,4.5,365,Espana,Rioja,,,4,3
Pago de Los Capellanes,Doroteo Edicion Especial 25 Aniversario,2015,4.6,86,Espana,Ribera del Duero,,,5,3
Alvaro Palacios,Quinon de Valmira,2015,4.7,102,Espana,Rioja,,,4,3
Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,137,Espana,Toro,,,5,3
Sei Solo,Preludio,2016,4.2,388,Espana,Ribera del Duero,,,5,3
Contino,Reserva,2016,4.2,392,Espana,Rioja,,,4,3
Artadi,Valdegines,2016,4.2,398,Espana,Vino de Espana,,,4,2
Recaredo,Corpinnat Terrers Brut Nature,2016,4.2,611,Espana,Cava,,,2,3
Miguel Merino,Vitola Reserva,2016,4.3,42,Espana,Rioja,,,4,3
Altos de Rioja,Altos R Pigeage,2016,4.3,63,Espana,Rioja,,,4,3
Contino,Rioja Graciano,2016,4.3,174,Espana,Rioja,,,4,3
Clos Figueras,Clos Figueres,2016,4.3,219,Espana,Priorato,,,4,3
Aalto,Tinto,2016,4.3,1884,Espana,Ribera del Duero,,,5,3
Legaris,La Aguilera,2016,4.4,44,Espana,Ribera del Duero,,,5,3
Alto Moncayo,Garnacha,2016,4.4,1226,Espana,Campo de Borja,,,5,3
Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2016,4.4,1993,Espana,Rioja,,,4,3
Hacienda Solano,Finca Cascorrales,2016,4.5,57,Espana,Ribera del Duero,,,5,3
Anima Negra,Son Negre,2016,4.5,81,Espana,Mallorca,,,4,3
Muga,Aro,2016,4.5,222,Espana,Rioja,,,4,3
Bodegas El Nido,Clio,2016,4.5,2228,Espana,Jumilla,,,4,3
Pago de Carraovejas,Tinto,2016,4.5,7529,Espana,Ribera del Duero,,,5,3
Bodegas Amaren,El Regollar,2016,4.7,49,Espana,Rioja,,,4,3
Mustiguillo,Finca Terrerazo,2017,4.2,390,Espana,El Terrerazo,,,4,3
Enrique Mendoza,Santa Rosa,2017,4.2,420,Espana,Alicante,,,4,3
Remirez de Ganuza,Rioja Blanco,2017,4.2,421,Espana,Rioja,,,3,3
Bodegas Mas Alta,Artigas,2017,4.2,505,Espana,Priorato,,,4,3
Sei Solo,Preludio,2017,4.2,591,Espana,Ribera del Duero,,,5,3
Bodegas Roda,Roda Reserva Rioja,2017,4.2,834,Espana,Rioja,,,4,3
Pago de Los Capellanes,Crianza Tinto,2017,4.2,3224,Espana,Ribera del Duero,,,5,3
Inurrieta,Laderas de Inurrieta,2017,4.3,30,Espana,Navarra,,,4,3
Venus la Universal,Venus,2017,4.3,47,Espana,Montsant,,,4,3
Abel Mendoza Monge,Malvasia,2017,4.3,72,Espana,Rioja,,,3,3
Eulogio Pomares,Castineiro Albarino,2017,4.3,111,Espana,Rias Baixas,,,3,3
Bodega Sommos,Coleccion Syrah,2017,4.3,133,Espana,Somontano,,,4,3
Bodegas Ximenez-Spinola,Delicado Cosecha Pedro Ximenez,2017,4.3,172,Espana,Jerez Pedro Ximenes (PX),,,5,1
Losada,La Bienquerida,2017,4.3,213,Espana,Bierzo,,,3,3
Bodegas Roda,Roda I Reserva Rioja,2017,4.4,71,Espana,Rioja,,,4,3
Clos Figueras,Clos Figueres,2017,4.4,75,Espana,Priorato,,,4,3
Casa Castillo,Pie Franco,2017,4.4,172,Espana,Jumilla,,,5,3
Pago de Los Capellanes,Reserva Tinto,2017,4.4,1040,Espana,Ribera del Duero,,,5,3
Hacienda Monasterio,Cosecha,2017,4.4,1266,Espana,Ribera del Duero,,,5,3
Bodegas Amaren,Carraquintana de Amaren,2017,4.5,29,Espana,Rioja Alavesa,,,4,3
Scala Dei,St Antoni de Scala Dei Priorat,2017,4.5,30,Espana,Priorato,,,4,3
Mas Doix,Doix,2017,4.5,71,Espana,Priorato,,,4,3
Dominio de Pingus,Flor de Pingus,2017,4.5,1094,Espana,Ribera del Duero,,,5,3
Bodegas El Nido,Clio,2017,4.5,2220,Espana,Jumilla,,,4,3
Pago de Carraovejas,Tinto,2017,4.5,4935,Espana,Ribera del Duero,,,5,3
Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Espana,Priorato,,,4,3
La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Espana,Rioja,,,4,3
Losada,Altos de Losada,2018,4.2,415,Espana,Bierzo,,,3,3
Clos Galena,Formiga de Vellut,2018,4.2,558,Espana,Priorato,,,4,3
Shaya,Habis,2018,4.3,62,Espana,Rueda,,,3,3
Losada,La Bienquerida,2018,4.4,66,Espana,Bierzo,,,3,3
Tridente,Rejon Tempranillo,2018,4.4,70,Espana,Castilla y Leon,,,4,2
Bodegas Ximenez-Spinola,Anada Pedro Ximenez,2018,4.4,99,Espana,Jerez-Xeres-Sherry,,,5,1
Matsu,El Viejo,2018,4.4,1438,Espana,Toro,,,5,3
Francisco Barona,Ribera Del Duero,2018,4.5,462,Espana,Ribera del Duero,,,5,3
Dominio de Pingus,Flor de Pingus,2018,4.6,1363,Espana,Ribera del Duero,,,5,3
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,26,Espana,Priorato,,,4,3
Matsu,El Viejo,2019,4.2,400,Espana,Toro,,,5,3
Adega Familiar Eladio Pineiro,Envidiacochina (Tete de Cuvee),2019,4.2,438,Espana,Rias Baixas,,,3,3
Arzuaga,Ribera del Duero Crianza,2019,4.2,806,Espana,Ribera del Duero,,,5,3
Bodega Ribas,Sio Negre,2019,4.3,53,Espana,Mallorca,,,4,3
Bodegas Mas Alta,Artigas,2019,4.3,136,Espana,Priorato,,,4,3
Azpilicueta,Felix Azpilicueta Coleccion Privada,2019,4.4,41,Espana,Rioja,,,4,3
Artadi,Valdegines,2019,4.5,30,Espana,Vino de Espana,,,4,2
Dominio de Pingus,Flor de Pingus,2019,4.5,201,Espana,Ribera del Duero,,,5,3
Belondrade,Belondrade y Lurton,2019,4.5,961,Espana,Rueda,,,3,3
Ukan Winery,Tinto,2019,4.6,38,Espana,Rioja Alavesa,,,4,3
Bodegas Vilano,Tinto,2019,4.6,97,Espana,Ribera del Duero,,,5,3
Ordonez,Nisia Las Suertes Verdejo Old Vines,2020,4.3,25,Espana,Rueda,,,3,3
Briego,Vendimia Seleccionada,2020,4.4,27,Espana,Ribera del Duero,,,5,3
Do Ferreiro (Bodegas Gerardo Mendez),Cepas Vellas Rias Baixas Albarino,2020,4.4,44,Espana,Rias Baixas,,,3,3
Terras Gauda,Terras Gauda O Rosal,2021,4.2,466,Espana,Rias Baixas,,,3,3
